Word	Style_W	Wordstem	Chapter 0	Chapter 1	Chapter 2	Chapter 3	Chapter 4	Chapter 5	Chapter 6	Chapter 7	Chapter 8	Chapter 9	Chapter 10	Chapter 11	Chapter 12,
short	adjective	short	0	0	0	1	1	3	0	0	1	0	0	0	0	0
late	adjective	late	0	2	0	1	1	0	0	0	1	0	0	0	1	0
guess	verb	guess	0	0	1	0	2	0	0	2	0	0	0	1	0	0
executioner	noun	executioner	0	0	0	0	0	0	0	0	6	0	0	0	0	0
youth	noun	youth	0	0	0	0	0	6	0	0	0	0	0	0	0	0
guinea	noun	guinea	0	0	0	0	1	0	0	0	0	0	0	4	1	0
wow	Not found	wow	0	0	0	0	0	0	6	0	0	0	0	0	0	0
forgotten	verb	forgotten	0	2	0	0	1	0	1	0	0	1	1	0	0	0
understand	verb	understand	0	0	2	0	0	1	0	2	0	1	0	0	0	0
shan	Not found	shan	0	0	1	0	2	0	0	0	1	0	0	1	1	0
chorus	noun	chorus	0	0	0	2	1	0	2	0	0	0	1	0	0	0
nice	adjective	nice	0	3	2	0	0	0	0	0	0	0	0	1	0	0
scream	verb	scream	0	0	0	0	0	1	0	0	3	0	1	0	1	0
race	noun	race	0	0	0	6	0	0	0	0	0	0	0	0	0	0
jump	noun	jump	0	1	0	0	1	0	1	1	1	0	0	0	1	0
melancholy	noun	melancholi	0	0	0	2	0	1	0	0	0	0	1	1	1	0
sing	verb	sing	0	0	0	0	0	0	0	1	0	0	5	0	0	0
animal	noun	animal	0	0	2	1	2	0	0	0	0	0	0	1	0	0
trembling	adjective	trembling	0	0	2	1	0	0	0	0	0	0	1	1	1	0
deny	verb	deni	0	0	0	0	0	1	1	0	0	0	0	4	0	0
bring	verb	bring	0	1	0	0	1	1	0	0	1	0	0	2	0	0
exclaim	verb	exclaim	0	0	0	0	0	0	0	1	0	3	0	1	1	0
